0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 7 7 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0  0 0 0 0 0 0 7 7 7 0 0 0 0 0 0 0 0 7 7 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 7 7 7 0 0 0 0 0 0 0 4 4 0 0 0 0 0  0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 4 4 0 0 0  0 4 4 0 0 0 0 0 0 0 7 0 0 0 0 1 1 1 1 1  0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 1  0 0 0 0 0 0 0 0 0 0 0 0 0 7 7 7 0 0 0 7  7 7 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 7 0 0  0 0 0 0 0 3 1 0 0 0 0 0 0 0 1 1 1 1 0 0  1 1 1 1 0 0 0 0 0 0 1 0 7 0 0 0 0 0 0 0  1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1  1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0  3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4  0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 7  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0  0 0 0 3 0 0 0 0 0 0 0 0 1 0 7 0 0 0 0 0  0 0 1 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0  0 1 4 4 0 0 0 7 7 7 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 3 1 1 3 1 1 0 0 0 0 0 0 0 0 0  3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1  1 7 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 1  0 7 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0  0 0 0 3 0 0 4 4 0 0 0 0 0 0 1 0 0 0 0 0  0 0 3 7 7 7 0 0 0 0 0 3 3 1 0 0 0 7 0 0  0 3 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0  3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 4 4 0 0 0 0 0 1 1 3 0 0  3 1 1 0 0 0 0 0 3 3 1 0 0 0 7 0 0 0 0 0  0 1 0 7 0 0 0 0 0 3 3 1 0 0 0 7 0 0 0 0  0 0 0 3 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0  0 0 3 1 1 1 0 0 0 0 0 0 0 0 0 0 7 1 0 0  0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1  1 1 1 0 0 0 0 0 0 0 3 3 1 0 0 0 0 0 0 0  3 0 0 0 8 8 8 8 8 8 8 8 8 8 8 0 0 0 1 3
0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 7 1 0 0 0 0 0  0 0 0 1 0 0 0 0 0 0 0 0 0 0 7 1 0 0 0 0  0 0 0 0 0 0 0 0 3 0 4 4 0 0 4 4 0 1 3 0  0 0 0 0 0 0 0 0 0 4 4 0 0 4 4 0 1 3 0 0  0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3  3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0  3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 7 7 1 3 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 7 1 3 0 0 0 0  0 0 0 0 0 0 0 0 3 1 1 1 1 1 1 1 1 3 3 0  0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 3 3 0 0  0 0 0 0 3 0 0 4 4 0 0 0 0 0 4 4 0 1 3 3  3 3 3 0 4 0 0 0 0 4 0 0 0 0 0 1 3 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 4 4 0 0 0 0 0 1 1 3 3 0 0 0 0 0  0 0 0 0 0 0 4 4 0 0 0 0 0 1 3 3 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 3 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3  3 3 3 1 1 1 0 0 1 1 1 0 0 0 1 3 3 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 3 1 1 1 3 3 3 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
